organ_index_id,source_embedding,source_row_id,organ,label,sample_id,image_path_final
0,fruit_embeddings.npy,4,fruit,healthy,mendeley_1004,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1004_1004.jpg
1,fruit_embeddings.npy,8,fruit,healthy,mendeley_1008,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1008_1008.jpg
2,fruit_embeddings.npy,9,fruit,healthy,mendeley_1009,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1009_1009.jpg
3,fruit_embeddings.npy,10,fruit,healthy,mendeley_1010,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1010_1010.jpg
4,fruit_embeddings.npy,11,fruit,healthy,mendeley_1011,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1011_1011.jpg
5,fruit_embeddings.npy,12,fruit,healthy,mendeley_1012,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1012_1012.jpg
6,fruit_embeddings.npy,13,fruit,healthy,mendeley_1013,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1013_1013.jpg
7,fruit_embeddings.npy,18,fruit,healthy,mendeley_1018,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1018_1018.jpg
8,fruit_embeddings.npy,24,fruit,healthy,mendeley_1024,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1024_1024.jpg
9,fruit_embeddings.npy,25,fruit,healthy,mendeley_1025,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1025_1025.jpg
10,fruit_embeddings.npy,30,fruit,healthy,mendeley_1030,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1030_1030.jpg
11,fruit_embeddings.npy,32,fruit,healthy,mendeley_1032,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1032_1032.jpg
12,fruit_embeddings.npy,33,fruit,healthy,mendeley_1033,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1033_1033.jpg
13,fruit_embeddings.npy,34,fruit,healthy,mendeley_1034,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1034_1034.jpg
14,fruit_embeddings.npy,35,fruit,healthy,mendeley_1035,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1035_1035.jpg
15,fruit_embeddings.npy,37,fruit,healthy,mendeley_1037,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1037_1037.jpg
16,fruit_embeddings.npy,41,fruit,healthy,mendeley_1041,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1041_1041.jpg
17,fruit_embeddings.npy,44,fruit,healthy,mendeley_1044,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1044_1044.jpg
18,fruit_embeddings.npy,46,fruit,healthy,mendeley_1046,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1046_1046.jpg
19,fruit_embeddings.npy,52,fruit,healthy,mendeley_1052,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1052_1052.jpg
